clean_review,verified_purchase_encoded,review_length_bin,sentiment
two kindle fires connect wifi finally get connect lasts minutes tried everything fix nothing works never buy another kindle fire amazon doesnt offer help fix problem,1,Medium,0
old kindle actually better onethe speakers one stinksound distorted fuzzy bestit sounds speakers blown day got itits fourth generation buy wouldnt,1,Medium,0
love fire,1,Short,1
far good wanted small reader could also used access email looks like fill bill able travel leave laptop home love usb port,1,Medium,1
bad assemble barely works,1,Short,0
lve tablet little different get used love clear screen nice hold durable,1,Short,1
cumbersome use ads pop time carousel hinders helps like use hard copy instruction manuals cannot find way print one ordered one think amazon prime great fire ok buy money,1,Medium,0
received kindle fire last week still getting used learning new things far great second fire third kindle thoroughly love avid reader would rather read kindle book,1,Medium,1
great product hard find good case,0,Short,1
much faster screen bigger,1,Short,1
love device tried many times still cant get wechat installed kindle fire help,1,Short,1
works great couldnt happier,1,Short,1
returned item,1,Short,0
rd kindle received birthday first one gave niece nephew nd one gave son love everything need prime membership access many free things movies songs picture quality dramatically improved first one carry time kudos amazon cant wait next big upgrade,0,Medium,1
great bought granddaughters replacement big enough always saying delete roomplus thought black like old ones dont care white,1,Short,0
gift grandson loves,1,Short,1
mother bought started problems months bought well quit working days year mark refuse replace told us pay replacement said dont even fix productswhy would sell product cannot repair mom fixed income cannot afford buy another one different kindle products moment getting rid going ipads least fix products,0,Medium,0
great product received earlier expected expect enjoy greatly,0,Short,1
love kindle never freezeswith tablet could even copy pasteso easy use learnturned right around let daughter get one,0,Short,1
paid price shipping already giving problems even item weekthe kindle stop freezing screen keeps going black started think received refurbished item problems device soon,1,Medium,0
love little unite far thought would,1,Short,1
limited number apps reading books ok great tablet choices available devices,1,Short,0
exceeds expectations,1,Short,1
wish buy kindle retailer could see settings show memory version instead go amazon website,1,Short,1
always loved kindle fire still,0,Short,1
gift birthday wonderful surprise tablet exceeded expectations performance wise cant get enough would recommend everyone must,1,Short,1
love upgrade,1,Short,1
birthday gift love,1,Short,1
year old love tablets,1,Short,1
crisp clear picture sleek design fast apple pad mini great things fast gamingfantastic price well give star plus,1,Short,1
love user friendly know world likes going online everything would prefer owners manual would mind paying extra,1,Short,1
great product although battery doesnt last long id like,1,Short,1
apps issue,0,Short,0
like third one,1,Short,0
good product price good quality variety features good entire family,1,Short,1
loved tablet better computer convenience,1,Short,1
love price works great much cheaper ipad battery life could bit better issue,1,Short,1
love everything need,1,Short,1
love kindle works great,1,Short,1
great little tablet bought one kids parent really like kids options amazon provides amazon freetime parental controls feel secure wont accidentally stumble something wouldnt want see tablet,0,Medium,1
camera poor downloads easy,1,Short,0
th kindle purchased past couple years gifts great tablet got one sister loves,0,Short,1
great product reasonable price amazed like inch screen booksize reading look magazines color thank developing wonderful gadget,1,Short,1
love im techie gal pretty loaded info great,1,Short,1
features first kindle fire unable figure one could tech savvy,0,Short,1
got wife spends lot time far complaints amazon special sales day tried purchase bought problems trying put cart contacted amazon explained situation sold sales price great outfit,1,Medium,1
im concerns volumn goes faint whisper short time use im going use watch something length see continues return new one necessary need return label sent dont printer touch,1,Medium,0
kindle much better one bought years ago much faster advice get gb im decide keep let go device,1,Short,1
really like fire hd luckily one single issue mine nook many years finally started problems hated part nook many great books really wanted try kindle figured download nook books kindle read nook kindle books anytime want love love love,0,Medium,1
kindle become fav amazing reading browsing movie drawback see poor camera resolution thats primary agenda anyways good tablet low price,0,Short,1
amazing sound quality tablet great love alot thought would great value,1,Short,1
love gar,1,Short,1
expectedstartup much easier expected,1,Short,1
second kindle fire already generation bought generation battery getting old one works great especially like new location control buttons much easier use volume onoff negative issue version permit use mini hdmi cable connect netflix television traveling otherwise great use laptop size great,0,Medium,1
disappointing android really google play etc available functional instagram prime free books hoped works fine reader overdrivelibrary figured download kindle use epub inexpensive prime day expectations met though,0,Medium,0
awesome starts pretty quickly compared laptop nice grab want look something dont wait around laptop start,1,Short,1
love fourth one bought one three others gifts two years problem mine called amazon instructed problem solved,1,Short,1
ive kindle month use times week already broken suddenly one day longer turned tried power hold button reset doesnt work charged hours doesnt work wish would read negative reviews see device isnt reliable still waiting hear back amazon see help fix issue new device really bummed,0,Medium,0
dont bother every time want watch video tv episode find app need compatible device damned expensive ereader able,0,Short,0
loved original fire use supplement ipad husband using amazons july sale thought pick another one original start gradually getting laggy im afraid doesnt hold quality poor battery life comparison volume isnt loud dont care placement buttons volume onoff etc price ok theyve gone quality dont expect last bad original requires frequent reboot doesnt compare ipad,0,Long,0
go tthis mother encouraged get one knows well ahve never one love turning pages book try get love like mom,1,Short,1
would buy one wit space gb enough even two yr old bought,1,Short,1
happy new tablet original version took advantage sale order,0,Short,1
lots fun tablet colors brilliant speakers great overall couldnt happier,1,Short,1
kindle hd say kindles best tablets money rival tablets cost much complaints white color nice touch,0,Short,1
far disappointing purchase amazon ever purchased child tried set teen profile teen profile slightly different toddler profile want child actually use device set himher adult thereby obtaining access content amazon ashamed touting could terrific product kid friendly freetime parental controls obviously broken parents children look elsewhere,1,Medium,0
didnt like picture quality camsvery basic camreturned within days,0,Short,0
exactly wanted love music books videos easy use love,1,Short,1
enjoy kindle fire,1,Short,1
finally retired old kindal new awesome,1,Short,1
still learning use bit guide would nice,1,Short,1
advertisements keeps making shopping icon show carousel annoying cant seem turn locator tracks everywhere app turned cant turn video quality good,1,Medium,0
havent really time play much,1,Short,1
bought kindle fire couple months ago really like problems far complaint wish sub charging cord longer thing like read tablets charging,1,Medium,1
read somewhere kindle ran android os bought prime day sale actually use customized version android os call fire get cool apps regular android tablet get basically waste money glad paid prime day price disappointing sale ever,0,Medium,0
fourth kindle last three kindle fires first lasted years accidentally cracked display granddaughter proud owner second find like two kindles hand never tethered charger try quickly sometimes uncomfortably read last chapter good book phone app okay reading emergency find quite heavy enough wake hits face fallen asleep reading newest fire gets stars finally designers thinking like actual kindle users putting power button top device instead bottom easy accidentally power cycle charging port top well nice otherwise device pretty much last one good job amazon,1,Long,1
great little tablet im happy,0,Short,1
exactly says would,0,Short,1
superb would understatement wish years ago thanks million,1,Short,1
replaced older kindle fire enjoy using new fire hd,1,Short,1
battery life exceptional lasted flight iowa oregon screen bright even sunlight,1,Short,1
runs faster toshiba laptop thats sure sound alot louder crisp use everyday,1,Short,1
still discovering bells whistles love far,0,Short,1
unit locks time tech support asked use days see keeps satisfied product,1,Short,0
excellent service product works described,0,Short,1
doesnt love fire anything ask,0,Short,1
anniversary gift loves still fast efficient seems like would good older kids well,0,Short,1
love love love wanted one years,1,Short,1
arrived already charged logged wifi set email netflix hulu hbogo minutes im moderately low tech person problems watched shows check amazed problems weird wth happening issues viewing clear crisp great taking vacation work dont miss shows emails play aps glad added payment plan didnt feel guilty buying wonder dont amazon prime monthly payments like hulu netflix dont like idea repeating allatonce big annual ach might forget going hit account havent gone prime even though also firestick tv love,0,Long,1
far good first tablet enjoy features,0,Short,1
excellent product,1,Short,1
happy tablets performance,1,Short,1
original fire new ones even better easy navigate overall lovely,1,Short,1
yes happystill checking learning ready start ordering books,1,Short,1
love way better ipad,1,Short,1
ok kind slow compared tablets default user interface actually easier use child interface,1,Short,0
econd kindel fire first one damaged accident wanted get thing happy,1,Short,1
nd kindle compared kindle fire hd believe version basically use noticed certain games available newer version like kids cant get play stuff access profiles without password moved charging port better location new kindle battery life hrs drained steady playing games surfing net graphics better clear,1,Medium,1
cool table easy use hd meets expectations battery life greatest,0,Short,1
good product problem big hands small keyboard desk top standard keyboard printer although portable works best,1,Short,1
perfect intended,1,Short,1
nice love things,1,Short,1
works grat,1,Short,1
second kindle like downloading books read great small tablet take wherever go reason gave battery needs recharged often previous kindle recommend purchasing product,0,Medium,1
fire hd hd display gb hoped many hours joy playing games reading price excellant thank amazon,1,Short,1
tablet great amazon support even better,1,Short,1
slow download capacity unit pretty good havent used fire stick im prime guest given perks prime account user pay movies,1,Short,0
nice picture simple things wanted little heavy taste samsung lighter larger screen quite bit pricey,1,Short,0
bought daughter loves everyone family second generation fire one even better,0,Short,1
awesome use every day,1,Short,1
love new kindle,0,Short,1
exactly expected,1,Short,1
im apple lover first kindleits hard get used didnt like pay get constant ads shocking like screen reading dont like cant personalize screen saver,0,Medium,1
im writing review fire tablet right great little device mainly reading pleasantly surprised much could really like came already plugged amazon account also would recommend friends family itd great buy electronic versions school books,0,Medium,1
good reading device easy use,1,Short,1
great thanks,1,Short,1
love reader,0,Short,1
gift elizabeth gave receipt return wasnt sure id want ipad thinking getting new paper white kindle fire exactly wanted amazingly isnt dumb ipad imitation find im using ipad days go figure,1,Medium,1
better samsung sorry,1,Short,1
love size perfect processor fast battery decent use time used apple im learn navigate without apps im use amazon prime music videos im never bored especially love price point,1,Medium,1
expected battery lasts forever selection books phenomenal great reader internet access sound great camera awesome havent found anything dont like worth every penny,1,Medium,1
greatest thing,0,Short,1
charge thought still good product,0,Short,0
christmas present year love,1,Short,1
dont know would without kindle,1,Short,1
previously kindle fire loved however hard read outside bought new one fire wouldnt charge anymore new hd reads well outside lighter weight yet used format hard time moving one app another sometimes seems frozen shut restart change aps like fire hd disappointed old kindle fire wouldnt charge anymore,1,Medium,1
using ipad tablet years still staying sticking ipad many aspects fire hd cheaper ok reading surfing internet apps displays advertisement amazon annoying,0,Medium,0
kindle fire hd userfriendly device particularly use reading books purchase online im particularly technological person kindle makes technology life simpler less stressful,1,Medium,1
nice cheap app store awful amazon apps awful missing popular important apps also cant customize kindle use home screen advertisement space,1,Medium,0
bought additional camera photo app ordered blue received black,1,Short,1
bought mother nursing home loves read rd kindle best far easy learn use,1,Short,1
wife loves definite step using cell phone read books,1,Short,1
lots new features like old one like charger top along turn buttom great thin lighter great haveing problems openning apps says error go old kindle works great,1,Medium,0
good book reader,1,Short,1
lasted less years warranty amazon nothing never buy another amazon product barely used locked would turn back oh yeah forget talking someone speaks english trying fix problem,1,Medium,0
bit different previous kindle fire issues time,1,Short,1
love new kindle fire really liked first one like newer improvements one,1,Short,1
nice tablet daughter loves purchased tablet special promotion best buy best tablet previously purchased bargain tablets price fire much better tablet worth additional money,1,Medium,1
love new fire,1,Short,1
ive kindle fire hd weeks love display sharp easy read explored options available ive busy reading money think really good investment,1,Medium,1
perfect size streams perfect easy carry along big enough watch videos excellent price,0,Short,1
slow learning use new fire still using paper white read books writing review fire using keyboard easy stylus expect get lot use pleasure fire long trips travel alone easier travel laptop,1,Medium,1
great product enjoy immensely easy use read,1,Short,1
unfortunately gb going enough gbs amount tv film uses tablet great people wont need use tablet much using ordered fire hd wifi gb ordered first picture clear sound excellent wish could given one returned one children tablet,1,Medium,1
gave old working fire hd hubby enjoying reading love love new kindle works perfect cover key pad makes even better great deal love amazon,1,Medium,1
camera resolution clear,1,Short,1
pleased needed update,1,Short,1
like would nice charge light like fire know done chargingand didnt turn,1,Short,1
im giving battery runs pretty fast read lot love easy access books available paper form library although also miss touching library books people also read enjoyed low cost ebooks much appreciated nice able adjust light background shade also handy games like sudoku web fingertips,1,Medium,1
better original kindle display great size perfect,0,Short,1
easy use download books apps,1,Short,1
never thought would want even like kindlebut far im playing around see im loving finally able get hold books different series love also get netflix,1,Medium,1
great graphics functionality,0,Short,1
best thing ever,1,Short,1
interesting upgrade old kindle fire wish ads,1,Short,1
wife loves,1,Short,1
love kindle family,1,Short,1
love pink color complaint amazon apps dont apps play itunes almost returned andriod really wanted kindle reading screen glare,0,Short,1
love tablet ease use unparalleled problem camera photos terrible granddaughter loves games,1,Short,1
love kindle meets needs yes wish instagram snap chat app oh well,1,Short,1
enjoy first kindle fire much ordered version replete camera nice wish memory turning quite amazon family kindle fires paperwhite fire phone use much liked,0,Medium,1
disappointed charging process holds full charge hours runs battery whether use plugged daynight still charged show low battery symbol frustrated,1,Short,0
love tablet well worth money,1,Short,1
love little small,1,Short,0
got amazon one day sale price pretty good purchase month died couldnt even factory reset get replacement amazon handled replacement great new unit came days ereader works great however tablet left desiring like extensive library ebooks like search web want think go robust tablet,1,Medium,0
excellent productmeets expectations,1,Short,1
love tablet perfect size,1,Short,1
bought fire hd prime day good price year old daughter uses barbie dress games enjoys im disappointed purchase reason cheap way free ipad paid likely would feel different still use time time shopping youtube etc always end putting aside getting ipad doesnt work nicely opinion keep giving another chance still prefer ipad mini battery life disappointing always needs charged would lose battery race long shot ipad mini,0,Long,0
enjoying new kindle far read couple books still process learning,0,Short,1
th kindle second fire first simple one second got left plane sob preordered kindle fire hd worth wait recently screen cracked called amazon see could repaired idea still warranty imagine surprise said would send replacement amazing love kindle fire hd worth every penny read anytime anywhere play games surf web watch movies best tablet ever,1,Long,1
easy use lots options nice picture quality,1,Short,1
like fire hd old kindle much better sent back,0,Short,0
love kindle fire hd previous version like one better great able take pictures perfect size,1,Short,1
im bit disappointed price great ive issues touch doesnt recognize touch sometimes games freeze playing surprised see games arent compatible device,0,Medium,0
disappointed device device one advertisement another apparent even checking email ads intrusive likely contributed slow loading pages used device knew fail,0,Medium,0
loving new kindle great graphics much better sound easy ready use,0,Short,1
great kindle fire,0,Short,1
still learning,1,Short,1
works well overall great use kindle basic surfing youre need tablet reading note taking basic web surfing isnt large expensive ipad great alternative ive mine couple weeks processor definitely bit slower ipad still gets job done amazon store missing basic apps though bit disappointing wifi device also issues disconnecting often im experiencing devices know network however id recommend someone market cheaper ipad alternative,0,Long,0
got bucks cyber monday think great watching movies reading books kindle side loading apps etc though gb space one app crazed young person fits needs battery average charges pretty fast sponsored ads version locked screen biggie bought im home needed wifi version need remember buy mobile device fit needs smartphone home computer tablet buying expensive top line product becomes redundant unnecessary saying fire hd isnt good fact great fits needs buy guarantee youll pleased,0,Long,1
cant wait till xmas think son luv,1,Short,1
gives everything could possibly want great books amazing movies pictures clear thank much amazing things make tablet really put spring life,1,Medium,1
lose much moving android tablet never,0,Short,0
love weight kindle keeps stalling end black screen thing restart charger stay hole kindle tried make much,1,Short,0
wife loves,1,Short,1
slow likes freeze would buy one raffle sticking pad,1,Short,0
read one book yet,1,Short,1
price kindle hd hard beat good picture movies good touch response still like ipad price good,1,Short,1
fire hd nice directions use came terrible someone idea use somewhere get information use need help,1,Short,1
worst kindle ive ever owned ive kindle replaced times fortunately still warranty one replacements sent worked fine couple days wouldnt turn customer service helpful quickly sent replacement times final replacement sent still issues going blank ill stick older kindle,1,Medium,0
kindle works well many apps use amazon prime gives horrible movies music havent even heard wifi barely ever works experience even says youre connected,0,Medium,0
finally bought kindle tablet id using would freeze regularly tablets particularly frustrating reading book apps froze could switch phone didnt like reading small screen kindle perfect use read also put printer docs apps syncs calendar devices id heard id busier id retired proven true really need calendar time perfect reading im treadmill gym easily fits purse followed instructions run battery monthly camera works well id give stars could,0,Long,1
kindles bought new one week ago nothing worked right goes blank screen skips pages power try bring screen back sending new one hope better buy pad mini,1,Medium,0
fire hd user friendly youre getting lot bang buck,1,Short,1
difficult hold way stand,0,Short,0
love new kindle,1,Short,1
wonderful item fast shipping,1,Short,1
im giving gift im sure person enjoy,0,Short,1
usual wonderful,1,Short,1
works fine dont know people reviews complaining pixel sizes resolution excellent eyesight cant tell difference screen excellent display,1,Short,1
birthday gift everyone enjoying easy use,1,Short,1
nice surfing web wish memory,1,Short,0
replaced first gen kindle always use improvement stars one major complaint doesnt dim enough im sure dont give us full range dimming using screen dim app success tends conflict times apps allowed use kindle read dark without getting headache got nice screen much improved first kind know fact wont last kindle much loved,1,Long,1
expected g use im within wifi range,0,Short,0
everything wanted amazing tablet even better price wait month get ordered minus great performance desing,0,Short,1
like kindle read get online really disappointed find regular android apps dont work complicated workarounds really frustrating mine pretty slow turn overall wish would gotten ipad,1,Medium,0
impressed fourth kindle family easy set rest,1,Short,1
daughter absolutely loves,1,Short,1
second fire absolutely love kindles,0,Short,1
happy productthank,1,Short,1
bought dad loves,0,Short,1
pleased met expections,0,Short,1
works great easy use,1,Short,1
ive tablet months started really get used sometimes find laggy little slow also disappointed app store doesnt much google play store really wish could use google play account apps fire overall tablet good things need getting used,0,Medium,0
excited receive new kindle ahead schedule,0,Short,1
works fine find offers disconcerting replaces original kindle fire find liked old one better,1,Short,0
got fire sale july even though wait month get deal nice quality happy looks exactly described ad person youve ever known one,1,Medium,1
great tablet price kids love set back battery drains quickly,0,Short,0
love order another one husband took,1,Short,1
purchased kindle take trip beach reached destination couldnt connect internet download books returned home everything downloaded fine fault internet server kindle im pleased fire hd,1,Medium,1
second kindle,1,Short,1
take everywhere everything need books games web surfing hd quality great,1,Short,1
bought year old granddaughtershe loves get use unless forgets bring along,1,Short,1
product easy setup easy use good say happy browse internet email good product,1,Short,1
exactly wanted happy fire hd,1,Short,1
love new kindle fire lot reading bought kf purchase books want read study hard copy way take library go sure would like small screen watching netflix turned find convenience device outweighed size issue book pardon intended pun,1,Medium,1
thing id change would get memory like music ebooks couple games theres enough hold g im happy,1,Short,1
wonderfully designed kindle use place almost paper books point screen plenty big interface intuitive easy use mini complaint cant tell kindle specify language translation dictionary default im trying learn french would nice able set english french dictionary default use highlighting word french book currently uses normal french dictionary fine would nice feature well overall yet another great product amazon,1,Long,1
love works great needs,1,Short,1
battery discharges quicklyoperating system problems weekly basis one year throw away buy something better,0,Short,0
really enjoying hd right size carry around pictures clear easy see read,0,Short,1
loved gen kindle one times better,1,Short,1
pleased rd generation kindle fire love needed gb ordered newer one app needed moon reader older version impossible download newer fire expected disappointed would like return exchange google nexus,1,Medium,0
nice tablet price apps available amazon limited works well use reading online streaming music stereo via bluetooth,1,Short,1
fire hd compact great display handy email facebook web surfing,0,Short,1
even better expected pleased purchase,0,Short,1
nice price next time would probably pay memory eliminate annoying ads otherwise enjoying using,0,Short,1
great rd fire,1,Short,1
crisp clear display fire hd super better ipadi pleasantly surprised,1,Short,1
picture near good expected definitely called hd battery good either even reading battery drains really quickly hour reading drains battery least bought gb version moves really slow lags extremely disappointed wish would saved another gotten better tablet,1,Medium,0
great deal love,1,Short,1
exceeded expectations much faster lg tablet better hd,0,Short,1
past years ive purchased one every one family one like front rear cameras believe version quicker easier use gen purchased advice prospective buyers g fine reader surfer intend use video music storage get g version however perfect help bible class bible app find references great speed,0,Medium,1
tablet since november loved first starting three months ago nothing problems tablet freezing replaced two times continue problem frustrating,1,Short,0
older fire bought one camera shouldnt camera good pictures crisp struggles anything perfect lighting highlights white low light gets grainy quick often fail especially blurry washouttablet works fine everything fire case feels cheaper old kindle,0,Medium,0
loved camera everything,1,Short,1
guess didnt read description clearly expected slight bigger screen black tablet kindle great however sometimes slow otherwise great,0,Short,1
loved first one one frequently freezes blacks sometimes work ready take back point purchase tried start impressed model,1,Short,0
grandson loves,1,Short,1
ever since amazon started using new people go thru returns breakage sorry say longer stand behind products,1,Short,0
first time ever buy kindle fire tablet far amazing wish memory though,1,Short,1
absolutely love ordered yr old couldnt stop grabbing older sisters great lil ones,1,Short,1
much improved original kindle fire lot bugs navigating web fast nice screen,1,Short,1
disappointed see screen outside thought screen kindle,1,Short,0
great color among many attributes,1,Short,1
first tablet dont baseline comparison enjoying experience far,1,Short,1
cheap good prompt delivery job,0,Short,1
item gift daughter thrilled love read much still learning,1,Short,1
recipient wife gave didnt particularly want glad,1,Short,1
kindle perfect reading pleasure purchased reduced price prime day arrived excellent condition difficult time syncing kindle books customer rep helpful get working still know much experiment next coming weeks,0,Medium,1
appstore pretty small compared usaual market android,0,Short,0
better expectedand way old kindle,0,Short,1
received kindle fire hd found could use headset getting audio set checked ear buds work fine old kindle contacted customer service made arrangements send another kindle sent back damaged kindle received new kindle friday earbuds work one side dont get audio sides also picture keeps flipping around unhappy new kindle contacting customer service return kindle get credit purchase send replacement would think would check everything working dealing amazon years never trouble hope able correct problem marian skindle,1,Long,0
ended getting fire hd dropped old kindle broke display experienced issues turning getting blank screen finishing book freezing restarting multiple times day annoyed seriously considering paying get old kindle fixed issues looked features see anything causing issue saw special offers feature turned sent email saying charging money turn something want first place happy yet see appear statement since turned issues thoroughly enjoyed new kindle give full due issues mentioned,1,Long,1
piece charger flawed recalled lets spade shovel shall gentleman happened toamazons customer service beyond excellent garbage wha happan amozon,1,Short,0
reading book freezes power unfreeze,1,Short,0
hate product,1,Short,0
met exceeded expectations,0,Short,1
works like old one better,1,Short,1
far love,0,Short,1
kids love,1,Short,1
bought fire hd black christmas july sale door worth price sure love size favorite apps available,0,Short,1
problem first two send thirdone far great amazon tean help greate helping solve problem,1,Short,1
bought year old son super tough loud speakers good battery life said tough mean thing dam impressive,0,Short,1
using several months im beginning get use however still learn overall like much great gift,1,Short,1
mom loved gift,1,Short,1
love kindle everything need really enjoying free apps,1,Short,1
purchased fire hd display tablets christmas gifts grandchildren well variety colors personalized one purchased variety colorful cases make tablet also downloaded apps tablet christmas arrives tablets age appropriate apps ready use although gb lot space space taken system apps removed replaced new ones fire tablet offers parental controls prevent children watching adult content love feature use work leisure downloaded adult games solitaire tetris,0,Long,1
different units like,0,Short,1
moment took box started lagging thick battery life said otherwise meet expectations also run android,1,Short,0
awesome tablet,1,Short,1
happy husband one quite sometime enjoy,0,Short,1
nifty little tablet great price,0,Short,1
old fire somethings better switch better located button color shows otherwise fire hd good,1,Short,0
battery dies twice quick already product months quite expected,1,Short,0
absolutely love perfect,1,Short,1
im still learning different features apps im bit overwhelmed definetley impressed every manufacture said would hope add review later date,0,Short,1
really liked ability read without additional lighting dwnlded games right home page turning slow tap books tap book reading takes timewould really nice book reading front pagetap go straight page left,0,Medium,1
first kindle reader far enjoy im electronically challenged found device pretty simple operate plan use reading novels pretty much exclusively,1,Short,1
love hd fast easy use,0,Short,1
love one daughters touched tip iceberg,1,Short,1
fun little pad great screen resolution,1,Short,1
rd kindle upgraded every years pleased larest version,0,Short,1
love thin light clear screen,0,Short,1
slow slow slow,0,Short,0
new tablet lot sleeker faster gotta give amazon credit main complaint fact allow google apps installed google offers many functional apps could turn tablet computer instead tablet seems useful games books may cheap tablet value since cannot use like computer might well google tablet price one amazon please support google apps allow tablet integrate google play store longer invest tablets happens,1,Long,0
like flexability view want around house,1,Short,1
got husband hes lot guess working fine,0,Short,1
love tablet wish bluetooth,0,Short,1
tremendous tablet,1,Short,1
sent two back getting one worked,1,Short,0
battery seems die fasterand seems thicker heavier,1,Short,0
extremely difficult remove air bubbles anti glare shields applying kindle fire,0,Short,0
less minutes apps running battery went called kindle support assistance one customer service able assist updated screensaver brightness battery optionsnothing worked cant close apps without forcing apps closed worstproductever,0,Medium,0
looking replacement first generation kindle old one wouldnt show pictures well new one screen perfect colors videos email apps work seamlessly also still leaning else find reading easy eyes font size changed lot bells whistles tweaking liking,1,Medium,1
amazon appstore limited wish fire hd would come google play store installed allow google play store installed,0,Short,0
device good want second one grandson latched onto first one watches lot kid stuff thought id get another one,1,Short,1
defective kind hassle replacing service people nice though maybe ill informed procedures finally figured though still problem listening customer needs contact service today th time good long standing amazon customer,1,Medium,0
disappointed kindle purchased kindle fire hd similar problems randomly freeze restart shut also difficulty power button kindle turn older kindle fire hd doesnt issues,1,Medium,0
since receiving kindle amazon last week far say pleased negatives report yet deal perfect travel containing favorite apps remove necessity lugging laptop around dont think great reading beach still nook im sure going enjoy little machine,1,Medium,1
good cannot read book outside use old one also confusing use,0,Short,0
great joy favorite authors fingertips access internet great buy,1,Short,1
dont like one half much earlier generation screen keeps going seconds turning dont respond wait around boot start lot new improvements arent intuitive helpful like volume control buttons rim force buy whole new case version buttons different places wish couldve kept older one forever batteries wear things cant replaced convenient technology advanced cant figure replacefix battery devices thanks craftygreedy amazon ive loyal amazon customer years never disappointed,1,Long,0
cant seem change amazon accounts annoying,0,Short,0
love fire hd hd tablet best tablet better tablet,1,Short,1
battery life terrible,0,Short,0
works great,1,Short,1
intuitive thought maybe im use ipad battery life great watching movies amazon prime,0,Short,0
